Total params: 551,771,568
Trainable params: 274,802,328
 2026-08-17 at 04:46:34 | Using device: cuda
 2026-08-17 at 06:50:07 | Epoch [3] | IndicVoices ema predictions metrics | T2A: R@1=0.005, R@5=0.017, R@10=0.030, MedR=240.000, MeanR=314.910, mAP=0.020 | A2T: R@1=0.005, R@5=0.019, R@10=0.033, MedR=258.000, MeanR=309.349, mAP=0.019
 2026-08-17 at 06:51:25 | Epoch [4] | Rasa projections metrics | T2A: R@1=0.002, R@5=0.009, R@10=0.027, MedR=242.000, MeanR=381.863, mAP=0.015 | A2T: R@1=0.002, R@5=0.015, R@10=0.026, MedR=273.000, MeanR=350.176, mAP=0.015
 2026-08-17 at 06:51:25 | Epoch [4] | Rasa predictions metrics | T2A: R@1=0.007, R@5=0.042, R@10=0.095, MedR=69.000, MeanR=89.836, mAP=0.044 | A2T: R@1=0.007, R@5=0.039, R@10=0.078, MedR=70.000, MeanR=90.764, mAP=0.041
 2026-08-17 at 06:51:25 | Epoch [4] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.009, R@10=0.020, MedR=257.000, MeanR=388.528, mAP=0.013 | A2T: R@1=0.001, R@5=0.010, R@10=0.020, MedR=280.000, MeanR=347.113, mAP=0.013
 2026-08-17 at 06:51:25 | Epoch [4] | Rasa ema predictions metrics | T2A: R@1=0.009, R@5=0.052, R@10=0.092, MedR=66.000, MeanR=88.251, mAP=0.047 | A2T: R@1=0.005, R@5=0.034, R@10=0.078, MedR=70.000, MeanR=89.606, mAP=0.038
 2026-08-17 at 06:51:26 | Epoch [4] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.010, MedR=472.000, MeanR=516.058, mAP=0.008 | A2T: R@1=0.003, R@5=0.011, R@10=0.018, MedR=339.000, MeanR=430.271, mAP=0.013
 2026-08-17 at 06:51:26 | Epoch [4] | IndicVoices predictions metrics | T2A: R@1=0.003, R@5=0.018, R@10=0.031, MedR=250.000, MeanR=312.086, mAP=0.019 | A2T: R@1=0.006, R@5=0.020, R@10=0.037, MedR=247.000, MeanR=289.544, mAP=0.021
 2026-08-17 at 06:51:26 | Epoch [4] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.002, R@10=0.009, MedR=483.000, MeanR=521.844, mAP=0.007 | A2T: R@1=0.001, R@5=0.009, R@10=0.021, MedR=332.000, MeanR=422.467, mAP=0.012
 2026-08-17 at 06:51:26 | Epoch [4] | IndicVoices ema predictions metrics | T2A: R@1=0.003, R@5=0.019, R@10=0.031, MedR=246.000, MeanR=308.430, mAP=0.019 | A2T: R@1=0.005, R@5=0.017, R@10=0.033, MedR=255.000, MeanR=298.095, mAP=0.019
 2026-08-17 at 06:52:36 | Epoch [5] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.008, R@10=0.022, MedR=235.000, MeanR=365.223, mAP=0.013 | A2T: R@1=0.001, R@5=0.011, R@10=0.024, MedR=243.000, MeanR=321.388, mAP=0.014
 2026-08-17 at 06:52:36 | Epoch [5] | Rasa predictions metrics | T2A: R@1=0.013, R@5=0.057, R@10=0.099, MedR=67.000, MeanR=93.181, mAP=0.051 | A2T: R@1=0.007, R@5=0.037, R@10=0.065, MedR=74.000, MeanR=98.666, mAP=0.038
 2026-08-17 at 06:52:36 | Epoch [5] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.019, MedR=242.000, MeanR=365.932, mAP=0.012 | A2T: R@1=0.002, R@5=0.013, R@10=0.023, MedR=236.000, MeanR=306.673, mAP=0.015
 2026-08-17 at 06:52:36 | Epoch [5] | Rasa ema predictions metrics | T2A: R@1=0.018, R@5=0.068, R@10=0.127, MedR=57.000, MeanR=81.495, mAP=0.060 | A2T: R@1=0.010, R@5=0.050, R@10=0.089, MedR=65.000, MeanR=92.880, mAP=0.046
 2026-08-17 at 06:52:36 | Epoch [5] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.012, MedR=384.000, MeanR=474.143, mAP=0.009 | A2T: R@1=0.001, R@5=0.007, R@10=0.015, MedR=310.000, MeanR=394.802, mAP=0.010
 2026-08-17 at 06:52:36 | Epoch [5] | IndicVoices predictions metrics | T2A: R@1=0.003, R@5=0.019, R@10=0.039, MedR=231.000, MeanR=299.195, mAP=0.020 | A2T: R@1=0.004, R@5=0.021, R@10=0.040, MedR=241.000, MeanR=292.321, mAP=0.021
 2026-08-17 at 06:52:36 | Epoch [5] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.007, R@10=0.013, MedR=391.000, MeanR=475.791, mAP=0.008 | A2T: R@1=0.001, R@5=0.007, R@10=0.017, MedR=300.000, MeanR=387.678, mAP=0.012
 2026-08-17 at 06:52:37 | Epoch [5] | IndicVoices ema predictions metrics | T2A: R@1=0.003, R@5=0.020, R@10=0.036, MedR=238.000, MeanR=305.759, mAP=0.019 | A2T: R@1=0.003, R@5=0.015, R@10=0.030, MedR=247.000, MeanR=295.895, mAP=0.018
 2026-08-17 at 06:53:56 | Epoch [6] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.016, MedR=295.000, MeanR=359.039, mAP=0.010 | A2T: R@1=0.003, R@5=0.013, R@10=0.030, MedR=204.000, MeanR=264.017, mAP=0.017
 2026-08-17 at 06:53:56 | Epoch [6] | Rasa predictions metrics | T2A: R@1=0.015, R@5=0.058, R@10=0.119, MedR=52.000, MeanR=89.615, mAP=0.057 | A2T: R@1=0.013, R@5=0.052, R@10=0.113, MedR=51.000, MeanR=82.110, mAP=0.054
 2026-08-17 at 06:53:56 | Epoch [6] | Rasa ema projections metrics | T2A: R@1=0.002, R@5=0.009, R@10=0.023, MedR=250.000, MeanR=350.329, mAP=0.014 | A2T: R@1=0.003, R@5=0.018, R@10=0.033, MedR=192.000, MeanR=256.342, mAP=0.019
 2026-08-17 at 06:53:56 | Epoch [6] | Rasa ema predictions metrics | T2A: R@1=0.015, R@5=0.085, R@10=0.157, MedR=47.000, MeanR=80.315, mAP=0.068 | A2T: R@1=0.019, R@5=0.085, R@10=0.172, MedR=47.000, MeanR=77.707, mAP=0.072
 2026-08-17 at 06:53:57 | Epoch [6] | IndicVoices projections metrics | T2A: R@1=0.002, R@5=0.003, R@10=0.010, MedR=345.000, MeanR=426.149, mAP=0.009 | A2T: R@1=0.001, R@5=0.013, R@10=0.021, MedR=307.000, MeanR=405.189, mAP=0.013
 2026-08-17 at 06:53:57 | Epoch [6] | IndicVoices predictions metrics | T2A: R@1=0.005, R@5=0.021, R@10=0.031, MedR=239.000, MeanR=301.928, mAP=0.021 | A2T: R@1=0.003, R@5=0.020, R@10=0.035, MedR=236.000, MeanR=292.819, mAP=0.018
 2026-08-17 at 06:53:57 | Epoch [6] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.008, R@10=0.011, MedR=326.000, MeanR=421.770, mAP=0.010 | A2T: R@1=0.002, R@5=0.012, R@10=0.017, MedR=288.000, MeanR=393.069, mAP=0.013
 2026-08-17 at 06:53:57 | Epoch [6] | IndicVoices ema predictions metrics | T2A: R@1=0.003, R@5=0.026, R@10=0.042, MedR=247.000, MeanR=302.687, mAP=0.022 | A2T: R@1=0.006, R@5=0.024, R@10=0.041, MedR=241.000, MeanR=292.689, mAP=0.024
 2026-08-17 at 06:55:18 | Epoch [7] | Rasa projections metrics | T2A: R@1=0.002, R@5=0.009, R@10=0.016, MedR=234.000, MeanR=301.182, mAP=0.013 | A2T: R@1=0.002, R@5=0.010, R@10=0.019, MedR=241.000, MeanR=304.631, mAP=0.014
 2026-08-17 at 06:55:18 | Epoch [7] | Rasa predictions metrics | T2A: R@1=0.019, R@5=0.073, R@10=0.119, MedR=73.000, MeanR=102.537, mAP=0.059 | A2T: R@1=0.016, R@5=0.062, R@10=0.125, MedR=71.000, MeanR=99.734, mAP=0.058
 2026-08-17 at 06:55:18 | Epoch [7] | Rasa ema projections metrics | T2A: R@1=0.002, R@5=0.011, R@10=0.024, MedR=276.000, MeanR=348.237, mAP=0.015 | A2T: R@1=0.001, R@5=0.015, R@10=0.028, MedR=214.000, MeanR=300.754, mAP=0.016
 2026-08-17 at 06:55:18 | Epoch [7] | Rasa ema predictions metrics | T2A: R@1=0.014, R@5=0.079, R@10=0.139, MedR=55.000, MeanR=85.040, mAP=0.063 | A2T: R@1=0.017, R@5=0.079, R@10=0.135, MedR=55.000, MeanR=85.506, mAP=0.065
 2026-08-17 at 06:55:18 | Epoch [7] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.011, MedR=371.000, MeanR=447.086, mAP=0.008 | A2T: R@1=0.002, R@5=0.010, R@10=0.015, MedR=386.000, MeanR=472.181, mAP=0.011
 2026-08-17 at 06:55:18 | Epoch [7] | IndicVoices predictions metrics | T2A: R@1=0.003, R@5=0.016, R@10=0.030, MedR=255.000, MeanR=310.199, mAP=0.017 | A2T: R@1=0.003, R@5=0.025, R@10=0.042, MedR=240.000, MeanR=290.721, mAP=0.021
 2026-08-17 at 06:55:18 | Epoch [7] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.017, MedR=357.000, MeanR=467.775, mAP=0.010 | A2T: R@1=0.001, R@5=0.010, R@10=0.018, MedR=366.000, MeanR=476.313, mAP=0.011
 2026-08-17 at 06:55:18 | Epoch [7] | IndicVoices ema predictions metrics | T2A: R@1=0.004, R@5=0.026, R@10=0.039, MedR=243.000, MeanR=308.308, mAP=0.021 | A2T: R@1=0.005, R@5=0.018, R@10=0.042, MedR=254.000, MeanR=307.275, mAP=0.021
 2026-08-17 at 06:56:36 | Epoch [8] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.007, MedR=600.000, MeanR=651.271, mAP=0.006 | A2T: R@1=0.002, R@5=0.006, R@10=0.012, MedR=689.000, MeanR=672.485, mAP=0.008
 2026-08-17 at 06:56:36 | Epoch [8] | Rasa predictions metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.015, MedR=570.000, MeanR=580.550, mAP=0.010 | A2T: R@1=0.001, R@5=0.009, R@10=0.017, MedR=584.000, MeanR=579.657, mAP=0.010
 2026-08-17 at 06:56:37 | Epoch [8] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.012, MedR=562.000, MeanR=626.938, mAP=0.008 | A2T: R@1=0.003, R@5=0.013, R@10=0.020, MedR=624.000, MeanR=630.691, mAP=0.012
 2026-08-17 at 06:56:37 | Epoch [8] | Rasa ema predictions metrics | T2A: R@1=0.004, R@5=0.019, R@10=0.042, MedR=526.000, MeanR=539.571, mAP=0.018 | A2T: R@1=0.004, R@5=0.019, R@10=0.039, MedR=567.000, MeanR=558.099, mAP=0.018
 2026-08-17 at 06:56:37 | Epoch [8] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.003, R@10=0.007, MedR=763.000, MeanR=753.609, mAP=0.005 | A2T: R@1=0.001, R@5=0.005, R@10=0.010, MedR=812.000, MeanR=792.040, mAP=0.006
 2026-08-17 at 06:56:37 | Epoch [8] | IndicVoices predictions metrics | T2A: R@1=0.003, R@5=0.008, R@10=0.015, MedR=721.000, MeanR=722.685, mAP=0.009 | A2T: R@1=0.003, R@5=0.010, R@10=0.014, MedR=775.000, MeanR=760.938, mAP=0.009
 2026-08-17 at 06:56:37 | Epoch [8] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.003, R@10=0.007, MedR=766.000, MeanR=752.477, mAP=0.005 | A2T: R@1=0.001, R@5=0.003, R@10=0.006, MedR=756.000, MeanR=756.487, mAP=0.005
 2026-08-17 at 06:56:37 | Epoch [8] | IndicVoices ema predictions metrics | T2A: R@1=0.001, R@5=0.009, R@10=0.016, MedR=711.000, MeanR=712.345, mAP=0.009 | A2T: R@1=0.001, R@5=0.009, R@10=0.020, MedR=717.000, MeanR=718.517, mAP=0.008
 2026-08-17 at 06:57:47 | Epoch [9] | Rasa projections metrics | T2A: R@1=0.003, R@5=0.012, R@10=0.020, MedR=519.000, MeanR=581.729, mAP=0.012 | A2T: R@1=0.001, R@5=0.008, R@10=0.017, MedR=569.000, MeanR=583.358, mAP=0.011
 2026-08-17 at 06:57:47 | Epoch [9] | Rasa predictions metrics | T2A: R@1=0.003, R@5=0.022, R@10=0.041, MedR=408.000, MeanR=450.323, mAP=0.019 | A2T: R@1=0.002, R@5=0.021, R@10=0.040, MedR=389.000, MeanR=434.843, mAP=0.019
 2026-08-17 at 06:57:47 | Epoch [9] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.008, R@10=0.017, MedR=534.000, MeanR=598.226, mAP=0.010 | A2T: R@1=0.001, R@5=0.007, R@10=0.013, MedR=617.000, MeanR=614.625, mAP=0.009
 2026-08-17 at 06:57:47 | Epoch [9] | Rasa ema predictions metrics | T2A: R@1=0.004, R@5=0.021, R@10=0.042, MedR=458.000, MeanR=484.534, mAP=0.020 | A2T: R@1=0.005, R@5=0.024, R@10=0.049, MedR=487.000, MeanR=501.520, mAP=0.022
 2026-08-17 at 06:57:47 | Epoch [9] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.008, MedR=776.000, MeanR=757.172, mAP=0.006 | A2T: R@1=0.001, R@5=0.004, R@10=0.009, MedR=718.000, MeanR=731.473, mAP=0.006
 2026-08-17 at 06:57:47 | Epoch [9] | IndicVoices predictions metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.015, MedR=683.000, MeanR=685.019, mAP=0.009 | A2T: R@1=0.002, R@5=0.010, R@10=0.017, MedR=644.000, MeanR=674.505, mAP=0.010
 2026-08-17 at 06:57:47 | Epoch [9] | IndicVoices ema projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.009, MedR=768.000, MeanR=754.932, mAP=0.006 | A2T: R@1=0.001, R@5=0.001, R@10=0.007, MedR=762.000, MeanR=766.024, mAP=0.005
 2026-08-17 at 06:57:47 | Epoch [9] | IndicVoices ema predictions metrics | T2A: R@1=0.001, R@5=0.010, R@10=0.019, MedR=694.000, MeanR=696.917, mAP=0.010 | A2T: R@1=0.001, R@5=0.011, R@10=0.019, MedR=702.000, MeanR=705.234, mAP=0.009
 2026-08-17 at 06:58:57 | Epoch [10] | Rasa projections metrics | T2A: R@1=0.003, R@5=0.013, R@10=0.027, MedR=337.000, MeanR=396.341, mAP=0.015 | A2T: R@1=0.001, R@5=0.010, R@10=0.021, MedR=294.000, MeanR=395.967, mAP=0.012
 2026-08-17 at 06:58:57 | Epoch [10] | Rasa predictions metrics | T2A: R@1=0.006, R@5=0.031, R@10=0.070, MedR=86.000, MeanR=112.699, mAP=0.035 | A2T: R@1=0.008, R@5=0.041, R@10=0.081, MedR=87.000, MeanR=109.030, mAP=0.040
 2026-08-17 at 06:58:57 | Epoch [10] | Rasa ema projections metrics | T2A: R@1=0.004, R@5=0.012, R@10=0.020, MedR=380.000, MeanR=458.665, mAP=0.014 | A2T: R@1=0.003, R@5=0.010, R@10=0.022, MedR=457.000, MeanR=480.613, mAP=0.012
 2026-08-17 at 06:58:57 | Epoch [10] | Rasa ema predictions metrics | T2A: R@1=0.013, R@5=0.051, R@10=0.096, MedR=85.000, MeanR=116.145, mAP=0.047 | A2T: R@1=0.007, R@5=0.053, R@10=0.104, MedR=81.000, MeanR=107.809, mAP=0.046
 2026-08-17 at 06:58:58 | Epoch [10] | IndicVoices projections metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.011, MedR=490.000, MeanR=562.403, mAP=0.008 | A2T: R@1=0.002, R@5=0.005, R@10=0.010, MedR=510.000, MeanR=589.346, mAP=0.008
