Total params: 551,771,568
Trainable params: 274,802,328
 2026-07-16 at 22:59:18 | Using device: cuda
 2026-07-16 at 23:52:32 | Epoch [8] | Rasa predictions metrics | T2A: R@1=0.021, R@5=0.098, R@10=0.164, MedR=51.000, MeanR=86.374, mAP=0.074 | A2T: R@1=0.022, R@5=0.097, R@10=0.175, MedR=50.000, MeanR=85.400, mAP=0.077
 2026-07-16 at 23:52:32 | Epoch [8] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.001, R@10=0.004, MedR=1655.000, MeanR=1553.536, mAP=0.003 | A2T: R@1=0.001, R@5=0.003, R@10=0.005, MedR=1609.000, MeanR=1563.002, mAP=0.004
 2026-07-16 at 23:52:33 | Epoch [8] | Rasa ema predictions metrics | T2A: R@1=0.025, R@5=0.119, R@10=0.210, MedR=37.000, MeanR=70.857, mAP=0.088 | A2T: R@1=0.026, R@5=0.112, R@10=0.203, MedR=38.000, MeanR=71.000, mAP=0.088
 2026-07-16 at 23:52:33 | Epoch [8] | IndicVoices projections metrics | T2A: R@1=0.000, R@5=0.003, R@10=0.011, MedR=239.000, MeanR=228.649, mAP=0.009 | A2T: R@1=0.003, R@5=0.011, R@10=0.011, MedR=236.000, MeanR=230.479, mAP=0.011
 2026-07-16 at 23:52:33 | Epoch [8] | IndicVoices predictions metrics | T2A: R@1=0.029, R@5=0.098, R@10=0.152, MedR=45.000, MeanR=57.957, mAP=0.081 | A2T: R@1=0.024, R@5=0.085, R@10=0.165, MedR=41.000, MeanR=58.665, mAP=0.075
 2026-07-16 at 23:52:33 | Epoch [8] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.000, R@10=0.005, MedR=237.000, MeanR=226.638, mAP=0.007 | A2T: R@1=0.003, R@5=0.008, R@10=0.008, MedR=236.000, MeanR=229.604, mAP=0.010
 2026-07-16 at 23:52:33 | Epoch [8] | IndicVoices ema predictions metrics | T2A: R@1=0.019, R@5=0.106, R@10=0.178, MedR=42.000, MeanR=54.750, mAP=0.078 | A2T: R@1=0.013, R@5=0.106, R@10=0.189, MedR=37.000, MeanR=54.883, mAP=0.073
 2026-07-16 at 23:59:17 | Epoch [9] | Rasa projections metrics | T2A: R@1=0.000, R@5=0.002, R@10=0.007, MedR=1243.000, MeanR=1304.916, mAP=0.004 | A2T: R@1=0.001, R@5=0.003, R@10=0.005, MedR=1195.000, MeanR=1260.855, mAP=0.004
 2026-07-16 at 23:59:18 | Epoch [9] | Rasa predictions metrics | T2A: R@1=0.029, R@5=0.142, R@10=0.238, MedR=31.000, MeanR=64.516, mAP=0.101 | A2T: R@1=0.040, R@5=0.156, R@10=0.258, MedR=29.000, MeanR=65.408, mAP=0.114
 2026-07-16 at 23:59:18 | Epoch [9] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.006, MedR=1255.000, MeanR=1309.670, mAP=0.005 | A2T: R@1=0.000, R@5=0.003, R@10=0.006, MedR=1194.000, MeanR=1281.128, mAP=0.004
 2026-07-16 at 23:59:19 | Epoch [9] | Rasa ema predictions metrics | T2A: R@1=0.041, R@5=0.171, R@10=0.279, MedR=27.000, MeanR=59.272, mAP=0.120 | A2T: R@1=0.044, R@5=0.185, R@10=0.298, MedR=26.000, MeanR=59.170, mAP=0.126
 2026-07-16 at 23:59:19 | Epoch [9] | IndicVoices projections metrics | T2A: R@1=0.003, R@5=0.011, R@10=0.021, MedR=183.000, MeanR=194.402, mAP=0.016 | A2T: R@1=0.003, R@5=0.011, R@10=0.021, MedR=195.000, MeanR=193.742, mAP=0.015
 2026-07-16 at 23:59:19 | Epoch [9] | IndicVoices predictions metrics | T2A: R@1=0.019, R@5=0.117, R@10=0.199, MedR=38.000, MeanR=56.282, mAP=0.085 | A2T: R@1=0.027, R@5=0.114, R@10=0.207, MedR=34.000, MeanR=55.221, mAP=0.093
 2026-07-16 at 23:59:19 | Epoch [9] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.011, R@10=0.021, MedR=195.000, MeanR=199.798, mAP=0.013 | A2T: R@1=0.003, R@5=0.003, R@10=0.005, MedR=191.000, MeanR=196.715, mAP=0.012
 2026-07-16 at 23:59:19 | Epoch [9] | IndicVoices ema predictions metrics | T2A: R@1=0.029, R@5=0.138, R@10=0.205, MedR=36.000, MeanR=53.452, mAP=0.095 | A2T: R@1=0.029, R@5=0.141, R@10=0.221, MedR=34.000, MeanR=53.144, mAP=0.099
 2026-07-17 at 00:06:02 | Epoch [10] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.004, R@10=0.009, MedR=1019.000, MeanR=1126.089, mAP=0.006 | A2T: R@1=0.002, R@5=0.006, R@10=0.009, MedR=1004.000, MeanR=1117.474, mAP=0.006
 2026-07-17 at 00:06:03 | Epoch [10] | Rasa predictions metrics | T2A: R@1=0.046, R@5=0.191, R@10=0.298, MedR=25.000, MeanR=68.195, mAP=0.129 | A2T: R@1=0.049, R@5=0.190, R@10=0.309, MedR=25.000, MeanR=72.867, mAP=0.132
 2026-07-17 at 00:06:03 | Epoch [10] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.003, R@10=0.010, MedR=990.000, MeanR=1099.654, mAP=0.005 | A2T: R@1=0.001, R@5=0.006, R@10=0.010, MedR=960.000, MeanR=1076.535, mAP=0.006
 2026-07-17 at 00:06:04 | Epoch [10] | Rasa ema predictions metrics | T2A: R@1=0.062, R@5=0.219, R@10=0.339, MedR=21.000, MeanR=60.563, mAP=0.152 | A2T: R@1=0.061, R@5=0.214, R@10=0.347, MedR=21.000, MeanR=66.293, mAP=0.152
 2026-07-17 at 00:06:04 | Epoch [10] | IndicVoices projections metrics | T2A: R@1=0.005, R@5=0.021, R@10=0.032, MedR=190.000, MeanR=196.386, mAP=0.021 | A2T: R@1=0.003, R@5=0.019, R@10=0.027, MedR=201.000, MeanR=198.519, mAP=0.019
 2026-07-17 at 00:06:04 | Epoch [10] | IndicVoices predictions metrics | T2A: R@1=0.035, R@5=0.125, R@10=0.199, MedR=38.000, MeanR=66.364, mAP=0.097 | A2T: R@1=0.027, R@5=0.109, R@10=0.218, MedR=37.000, MeanR=64.516, mAP=0.091
 2026-07-17 at 00:06:04 | Epoch [10] | IndicVoices ema projections metrics | T2A: R@1=0.003, R@5=0.019, R@10=0.024, MedR=186.000, MeanR=191.332, mAP=0.019 | A2T: R@1=0.003, R@5=0.011, R@10=0.024, MedR=197.000, MeanR=195.668, mAP=0.018
 2026-07-17 at 00:06:04 | Epoch [10] | IndicVoices ema predictions metrics | T2A: R@1=0.043, R@5=0.130, R@10=0.218, MedR=40.000, MeanR=65.253, mAP=0.103 | A2T: R@1=0.029, R@5=0.120, R@10=0.213, MedR=36.000, MeanR=64.234, mAP=0.091
 2026-07-17 at 00:12:47 | Epoch [11] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.005, R@10=0.009, MedR=860.000, MeanR=1004.503, mAP=0.007 | A2T: R@1=0.001, R@5=0.005, R@10=0.009, MedR=847.000, MeanR=1004.265, mAP=0.006
 2026-07-17 at 00:12:48 | Epoch [11] | Rasa predictions metrics | T2A: R@1=0.073, R@5=0.227, R@10=0.352, MedR=21.000, MeanR=72.280, mAP=0.162 | A2T: R@1=0.077, R@5=0.217, R@10=0.339, MedR=22.000, MeanR=74.962, mAP=0.161
 2026-07-17 at 00:12:48 | Epoch [11] | Rasa ema projections metrics | T2A: R@1=0.001, R@5=0.006, R@10=0.010, MedR=904.000, MeanR=1047.384, mAP=0.007 | A2T: R@1=0.001, R@5=0.005, R@10=0.011, MedR=867.000, MeanR=1040.752, mAP=0.006
 2026-07-17 at 00:12:49 | Epoch [11] | Rasa ema predictions metrics | T2A: R@1=0.087, R@5=0.281, R@10=0.408, MedR=15.000, MeanR=63.484, mAP=0.188 | A2T: R@1=0.085, R@5=0.278, R@10=0.403, MedR=17.000, MeanR=68.148, mAP=0.187
 2026-07-17 at 00:12:49 | Epoch [11] | IndicVoices projections metrics | T2A: R@1=0.000, R@5=0.008, R@10=0.029, MedR=186.000, MeanR=185.322, mAP=0.014 | A2T: R@1=0.005, R@5=0.019, R@10=0.040, MedR=195.000, MeanR=187.428, mAP=0.023
 2026-07-17 at 00:12:49 | Epoch [11] | IndicVoices predictions metrics | T2A: R@1=0.035, R@5=0.109, R@10=0.178, MedR=47.000, MeanR=73.702, mAP=0.086 | A2T: R@1=0.019, R@5=0.090, R@10=0.165, MedR=46.000, MeanR=75.920, mAP=0.072
 2026-07-17 at 00:12:49 | Epoch [11] | IndicVoices ema projections metrics | T2A: R@1=0.000, R@5=0.005, R@10=0.021, MedR=195.000, MeanR=193.598, mAP=0.013 | A2T: R@1=0.008, R@5=0.024, R@10=0.037, MedR=201.000, MeanR=194.505, mAP=0.023
 2026-07-17 at 00:12:49 | Epoch [11] | IndicVoices ema predictions metrics | T2A: R@1=0.037, R@5=0.128, R@10=0.186, MedR=42.000, MeanR=72.173, mAP=0.097 | A2T: R@1=0.021, R@5=0.112, R@10=0.197, MedR=39.000, MeanR=70.726, mAP=0.082
 2026-07-17 at 00:19:33 | Epoch [12] | Rasa projections metrics | T2A: R@1=0.001, R@5=0.007, R@10=0.014, MedR=846.000, MeanR=994.801, mAP=0.008 | A2T: R@1=0.002, R@5=0.005, R@10=0.008, MedR=826.000, MeanR=1003.001, mAP=0.007
 2026-07-17 at 00:19:33 | Epoch [12] | Rasa predictions metrics | T2A: R@1=0.114, R@5=0.344, R@10=0.477, MedR=11.000, MeanR=54.157, mAP=0.230 | A2T: R@1=0.120, R@5=0.338, R@10=0.485, MedR=11.000, MeanR=57.594, mAP=0.234
